,X,Y,Area,Perimeter,Radius,Circularity,Convexity,Inertia,Graymean,Graystd,Repimean,Repistd,Gepimean,Gepistd,Bepimean,Bepistd,X_rawImage,Y_rawImage,plate_barcode,colony_index
0,1133,946,86.0,36.82842707633972,6.4031242374328485,0.7967865120383842,0.9942196531791907,0.9983955908899559,158.5125,0.04512116,85.244225,0.04801249,97.526535,0.031137714,248.31372,0.025599701,1283,1096,S2R80105,0
1,694,945,70.5,32.24264061450958,5.656854249492381,0.8521926338723421,1.0,0.9975182669318612,166.4199,0.050209887,78.55451,0.04490475,90.29159,0.051910833,233.76645,0.031950872,844,1095,S2R80105,1
2,942,950,360.5,74.52691197395325,11.40175425099138,0.8156219028770405,0.9486842105263158,0.9995365181036863,155.0257,0.057273444,87.47802,0.042386334,97.16459,0.039602548,249.17274,0.031308666,1092,1100,S2R80105,2
3,1410,942,243.5,60.041630148887634,9.219544457292887,0.8487970854686324,0.9624505928853755,0.9997866704453349,134.09819,0.34598285,71.69025,0.11630676,80.8767,0.105282135,214.83525,0.08365838,1560,1092,S2R80105,3
4,1166,945,486.5,84.87005686759949,12.649110640673518,0.8487576902454972,0.9643211100099108,0.9999055944559877,148.0486,0.10925812,91.19337,0.076825395,100.73731,0.052763928,251.24109,0.03912487,1316,1095,S2R80105,4
5,562,941,293.0,64.62741649150848,9.899494936611665,0.8815437973881457,0.973421926910299,0.9998203906702453,152.20782,0.14422722,87.37739,0.091438934,96.57776,0.091396146,247.8079,0.061528187,712,1091,S2R80105,5
6,71,940,270.0,61.79898929595947,9.848857801796104,0.888404773508922,0.9836065573770492,0.9998183817984219,144.08417,0.16542962,87.679665,0.11159638,96.56907,0.10785021,243.05278,0.09320056,221,1090,S2R80105,6
7,900,938,378.5,80.04163002967834,11.40175425099138,0.7424101471657003,0.931119311193112,0.999669799493789,159.13387,0.047303583,86.772026,0.038484726,96.76197,0.03435373,250.74974,0.035752475,1050,1088,S2R80105,7
8,536,932,115.0,41.656854033470154,6.737096024649162,0.8327885920584714,1.0,0.9988446162235635,161.95541,0.055104222,82.712616,0.0526576,92.90094,0.040228695,242.4902,0.033782687,686,1082,S2R80105,8
9,960,934,369.5,73.69848430156708,10.816653826391969,0.8548840108795921,0.9634941329856584,0.9994703969322501,151.21548,0.12149944,88.57819,0.08169123,99.11653,0.074363805,254.83722,0.048242282,1110,1084,S2R80105,9
10,1381,929,300.0,67.4558436870575,9.874176369203884,0.8284989488862845,0.9584664536741214,0.9308014430673752,150.33653,0.1175979,86.73004,0.09389819,96.47116,0.067002095,252.63988,0.057743624,1531,1079,S2R80105,10
11,1208,929,469.5,92.18376529216766,12.165525060596439,0.6942830687174264,0.8985645933014355,0.9954194693901951,154.06075,0.09827527,89.76356,0.06345119,100.590645,0.0614834,259.29773,0.03975304,1358,1079,S2R80105,11
